,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,ionisable_nitrogens,num_nitrogens,longest_tail,num_branches,num_carbons,num_heavy_atoms,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,num_sp3_carbons,tail_branches
8752,CCCn1cc(C(=O)OCC)c(N)n1,0.0,1.0,1.0,0.0,197.23800659179688,0.5555555820465088,0.6428571343421936,2.0,3.0,5.0,3.0,9,14,0,0,0,0,5.0,0.0
8753,CC(C)(C)Cn1ccc(CN)n1,0.0,1.0,0.0,0.0,167.25599670410156,0.6666666865348816,0.75,2.0,3.0,3.0,4.0,9,12,0,0,0,0,6.0,0.0
8754,CCOc1ncc(F)cc1N,0.0,1.0,0.0,0.0,156.16000366210938,0.2857142984867096,0.6363636255264282,1.0,2.0,3.0,3.0,7,11,0,0,0,0,2.0,0.0
8755,Nc1cc(O)cc(C(F)(F)F)n1,0.0,1.0,0.0,0.0,178.11300659179688,0.1666666716337204,0.5,1.0,2.0,3.0,4.0,6,12,0,0,0,0,1.0,0.0
8756,CCn1cc(N)c(N2CCCCC2)n1,1.0,1.0,0.0,0.0,194.2819976806641,0.699999988079071,0.7142857313156128,3.0,4.0,2.0,2.0,10,14,0,0,0,1,7.0,0.0
8757,CCOC(=O)c1oc(N)nc1C(C)C,0.0,1.0,1.0,0.0,198.2220001220703,0.5555555820465088,0.6428571343421936,1.0,2.0,5.0,3.0,9,14,0,0,0,0,5.0,0.0
8758,Cn1nc(C(C)(F)F)cc1N,0.0,1.0,0.0,0.0,161.15499877929688,0.5,0.5454545617103577,2.0,3.0,3.0,4.0,6,11,0,0,0,0,3.0,0.0
8759,CC(C)(C)c1ccnc(N)c1C(N)=O,0.0,1.0,0.0,1.0,193.25,0.4000000059604645,0.7142857313156128,1.0,3.0,3.0,4.0,10,14,0,0,0,0,4.0,0.0
8760,CCn1ccnc1C1CCC(N)CC1,1.0,1.0,0.0,0.0,193.29400634765625,0.7272727489471436,0.7857142686843872,2.0,3.0,2.0,2.0,11,14,0,0,0,0,8.0,0.0
8761,CCSCCn1cnc(N)c1,0.0,1.0,0.0,0.0,171.2689971923828,0.5714285969734192,0.6363636255264282,2.0,3.0,5.0,2.0,7,11,0,0,0,0,4.0,0.0
8762,COCCN(C)c1ccccc1CN,0.0,1.0,0.0,0.0,194.2779998779297,0.4545454680919647,0.7857142686843872,1.0,2.0,6.0,2.0,11,14,0,0,0,1,5.0,0.0
8763,Cc1cc(N)cnc1OC1CCC1,1.0,1.0,0.0,0.0,178.23500061035156,0.5,0.7692307829856873,1.0,2.0,1.0,4.0,10,13,0,0,0,0,5.0,0.0
8764,CNc1ccc(N)cc1C(=O)N(C)C,0.0,1.0,0.0,1.0,193.25,0.3000000119209289,0.7142857313156128,1.0,3.0,4.0,4.0,10,14,0,0,0,0,3.0,0.0
8765,CCc1c(C2CC2)nn(C)c1N,1.0,1.0,0.0,0.0,165.24000549316406,0.6666666865348816,0.75,2.0,3.0,2.0,3.0,9,12,0,0,0,0,6.0,0.0
8766,CCOc1nccc(C)c1N,0.0,1.0,0.0,0.0,152.19700622558594,0.375,0.7272727489471436,1.0,2.0,3.0,3.0,8,11,0,0,0,0,3.0,0.0
8767,NCCC(F)(F)c1ccncc1,0.0,1.0,0.0,0.0,172.17799377441406,0.375,0.6666666865348816,1.0,2.0,5.0,2.0,8,12,0,0,0,0,3.0,0.0
8768,CCCCN(C)Cc1cc(N)n(C)n1,0.0,1.0,0.0,0.0,196.29800415039065,0.699999988079071,0.7142857313156128,3.0,4.0,6.0,4.0,10,14,0,0,0,1,7.0,0.0
8769,Cc1noc(C)c1/C=C/CN,0.0,1.0,0.0,0.0,152.19700622558594,0.375,0.7272727489471436,1.0,2.0,4.0,3.0,8,11,1,0,1,0,3.0,0.0
8770,CC(C)(C)c1cccc(CCN)n1,0.0,1.0,0.0,0.0,178.2790069580078,0.5454545617103577,0.8461538553237915,1.0,2.0,3.0,3.0,11,13,0,0,0,0,6.0,0.0
8771,Cc1nn(CCC2CC2)c(C)c1N,1.0,1.0,0.0,0.0,179.26699829101562,0.699999988079071,0.7692307829856873,2.0,3.0,2.0,5.0,10,13,0,0,0,0,7.0,0.0
8772,Nc1cc(C2CCCC2)nn1CCO,1.0,1.0,0.0,0.0,195.26600646972656,0.699999988079071,0.7142857313156128,2.0,3.0,3.0,2.0,10,14,0,0,0,0,7.0,0.0
8773,CCc1cnn(CC)c1N,0.0,1.0,0.0,0.0,139.20199584960938,0.5714285969734192,0.699999988079071,2.0,3.0,2.0,3.0,7,10,0,0,0,0,4.0,0.0
8774,CCc1c(C)[nH]c(N)nc1=S,0.0,1.0,0.0,0.0,169.2530059814453,0.4285714328289032,0.6363636255264282,1.0,3.0,2.0,4.0,7,11,0,0,0,0,3.0,0.0
8775,CCc1c(N)nnn1C(C)C,0.0,1.0,0.0,0.0,154.2169952392578,0.7142857313156128,0.6363636255264282,3.0,4.0,3.0,3.0,7,11,0,0,0,0,5.0,0.0
8776,CCOCCNc1ccccc1N,0.0,1.0,0.0,0.0,180.25100708007812,0.4000000059604645,0.7692307829856873,1.0,2.0,6.0,2.0,10,13,0,0,0,0,4.0,0.0
8777,NCC1(c2cc(C3CC3)on2)CC1,2.0,1.0,0.0,0.0,178.23500061035156,0.699999988079071,0.7692307829856873,1.0,2.0,2.0,1.0,10,13,0,0,0,0,7.0,0.0
8778,COc1cc2c(cc1N)NCC2,1.0,1.0,0.0,0.0,164.20799255371094,0.3333333432674408,0.75,1.0,2.0,2.0,2.0,9,12,0,0,0,0,3.0,0.0
8779,CCCCNc1nn(C)cc1N,0.0,1.0,0.0,0.0,168.24400329589844,0.625,0.6666666865348816,3.0,4.0,5.0,3.0,8,12,0,0,0,0,5.0,0.0
