,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,longest_tail,num_branches,ionisable_nitrogens,num_nitrogens,num_carbons,num_heavy_atoms,num_sp3_carbons,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,tail_branches
114,[C-]#[N+]C(CC(C)C)C(=O)OCC,0.0,0.0,1.0,0.0,169.2239990234375,0.7777777910232544,0.75,8.0,3.0,0.0,1.0,9,12,7,0,0,0,0,3.0
115,[C-]#[N+]Cc1cccc(C)n1,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
116,[C-]#[N+]CC1CCOCC1,1.0,0.0,0.0,0.0,125.1709976196289,0.8571428656578064,0.7777777910232544,3.0,1.0,0.0,1.0,7,9,6,0,0,0,0,1.0
117,[C-]#[N+]Cc1cnccc1C,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
118,[C-]#[N+]Cc1ccncc1C,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
119,[C-]#[N+]CCNC(=O)OC(C)(C)C,0.0,0.0,1.0,1.0,170.21200561523438,0.75,0.6666666865348816,9.0,3.0,0.0,2.0,8,12,6,0,0,0,0,3.0
120,[C-]#[N+]CCCNC(=O)OC(C)(C)C,0.0,0.0,1.0,1.0,184.2389984130859,0.7777777910232544,0.692307710647583,10.0,3.0,0.0,2.0,9,13,7,0,0,0,0,3.0
121,[C-]#[N+]C1CCC(C(=O)OC)C1,1.0,0.0,1.0,0.0,153.18099975585938,0.75,0.7272727489471436,4.0,2.0,0.0,1.0,8,11,6,0,0,0,0,1.0
122,[C-]#[N+]Cc1ccc(C)nc1,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
123,[C-]#[N+]CC1CC1,1.0,0.0,0.0,0.0,81.11799621582031,0.800000011920929,0.8333333134651184,3.0,1.0,0.0,1.0,5,6,4,0,0,0,0,1.0
124,[C-]#[N+]CCC1CC1,1.0,0.0,0.0,0.0,95.1449966430664,0.8333333134651184,0.8571428656578064,4.0,1.0,0.0,1.0,6,7,5,0,0,0,0,1.0
125,[C-]#[N+]Cc1cccnc1C,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
126,[C-]#[N+]CCN(C)C(=O)OC(C)(C)C,0.0,0.0,1.0,1.0,184.2389984130859,0.7777777910232544,0.692307710647583,9.0,4.0,0.0,2.0,9,13,7,0,0,0,0,4.0
127,[C-]#[N+]CCCCC(=O)OC,0.0,0.0,1.0,0.0,141.1699981689453,0.7142857313156128,0.699999988079071,9.0,1.0,0.0,1.0,7,10,5,0,0,0,0,1.0
128,[C-]#[N+]CCN(CC)CCC,0.0,0.0,0.0,0.0,140.22999572753906,0.875,0.800000011920929,8.0,1.0,1.0,2.0,8,10,7,0,0,0,1,1.0
129,[C-]#[N+]Cc1ccc2c(c1)OCO2,1.0,1.0,0.0,0.0,161.16000366210938,0.2222222238779068,0.75,3.0,1.0,0.0,1.0,9,12,2,0,0,0,0,1.0
130,[C-]#[N+]c1ccc(C)c(C(=O)OC)c1,0.0,1.0,1.0,0.0,175.18699645996094,0.2000000029802322,0.7692307829856873,4.0,3.0,0.0,1.0,10,13,2,0,0,0,0,1.0
131,[C-]#[N+]c1ccccc1C(=O)OC,0.0,1.0,1.0,0.0,161.16000366210938,0.1111111119389534,0.75,4.0,2.0,0.0,1.0,9,12,1,0,0,0,0,1.0
132,[C-]#[N+]c1ccccc1CC(OC)OC,0.0,1.0,0.0,0.0,191.22999572753903,0.3636363744735718,0.7857142686843872,5.0,3.0,0.0,1.0,11,14,4,0,0,0,0,1.0
133,[C-]#[N+]c1ccc(OC)cc1OC,0.0,1.0,0.0,0.0,163.17599487304688,0.2222222238779068,0.75,2.0,3.0,0.0,1.0,9,12,2,0,0,0,0,1.0
134,[C-]#[N+]c1ccccc1,0.0,1.0,0.0,0.0,103.1240005493164,0.0,0.875,2.0,1.0,0.0,1.0,7,8,0,0,0,0,0,1.0
135,[C-]#[N+]c1ccc(OC)cc1,0.0,1.0,0.0,0.0,133.14999389648438,0.125,0.800000011920929,2.0,2.0,0.0,1.0,8,10,1,0,0,0,0,1.0
136,[C-]#[N+]c1ccc2c(c1)OCCO2,1.0,1.0,0.0,0.0,161.16000366210938,0.2222222238779068,0.75,2.0,1.0,0.0,1.0,9,12,2,0,0,0,0,1.0
137,[C-]#[N+]c1cccc(C(=O)OC)c1,0.0,1.0,1.0,0.0,161.16000366210938,0.1111111119389534,0.75,4.0,2.0,0.0,1.0,9,12,1,0,0,0,0,1.0
138,[C-]#[N+]c1ccccc1OC,0.0,1.0,0.0,0.0,133.14999389648438,0.125,0.800000011920929,2.0,2.0,0.0,1.0,8,10,1,0,0,0,0,1.0
139,[C-]#[N+]c1ccc(N2CCOCC2)cc1,1.0,1.0,0.0,0.0,188.22999572753903,0.3636363744735718,0.7857142686843872,2.0,1.0,1.0,2.0,11,14,4,0,0,0,1,1.0
140,[C-]#[N+]c1ccc(F)cc1,0.0,1.0,0.0,0.0,121.11399841308594,0.0,0.7777777910232544,2.0,2.0,0.0,1.0,7,9,0,0,0,0,0,1.0
141,[C-]#[N+]c1ccc(C(=O)OCC)cc1,0.0,1.0,1.0,0.0,175.18699645996094,0.2000000029802322,0.7692307829856873,5.0,2.0,0.0,1.0,10,13,2,0,0,0,0,1.0
142,[C-]#[N+]c1ccc(C(=O)OC)cc1,0.0,1.0,1.0,0.0,161.16000366210938,0.1111111119389534,0.75,4.0,2.0,0.0,1.0,9,12,1,0,0,0,0,1.0
143,[C-]#[N+]c1ccccc1F,0.0,1.0,0.0,0.0,121.11399841308594,0.0,0.7777777910232544,2.0,2.0,0.0,1.0,7,9,0,0,0,0,0,1.0
144,[C-]#[N+]c1ccc(C(C)O)cc1,0.0,1.0,0.0,0.0,147.177001953125,0.2222222238779068,0.8181818127632141,3.0,2.0,0.0,1.0,9,11,2,0,0,0,0,1.0
145,[C-]#[N+]c1cccc(OC)c1,0.0,1.0,0.0,0.0,133.14999389648438,0.125,0.800000011920929,2.0,2.0,0.0,1.0,8,10,1,0,0,0,0,1.0
146,[C-]#[N+]c1c(OC)cccc1OC,0.0,1.0,0.0,0.0,163.17599487304688,0.2222222238779068,0.75,2.0,3.0,0.0,1.0,9,12,2,0,0,0,0,1.0
147,[C-]#[N+]c1cccc(C(=O)OCC)c1,0.0,1.0,1.0,0.0,175.18699645996094,0.2000000029802322,0.7692307829856873,5.0,2.0,0.0,1.0,10,13,2,0,0,0,0,1.0
148,[C-]#[N+]c1cc(OC)ccc1OC,0.0,1.0,0.0,0.0,163.17599487304688,0.2222222238779068,0.75,2.0,3.0,0.0,1.0,9,12,2,0,0,0,0,1.0
149,[C-]#[N+]c1cc(OC)c(OC)c(OC)c1,0.0,1.0,0.0,0.0,193.20199584960935,0.3000000119209289,0.7142857313156128,2.0,4.0,0.0,1.0,10,14,3,0,0,0,0,1.0
150,[C-]#[N+]c1c(OC)cc(OC)cc1OC,0.0,1.0,0.0,0.0,193.20199584960935,0.3000000119209289,0.7142857313156128,2.0,4.0,0.0,1.0,10,14,3,0,0,0,0,1.0
151,[C-]#[N+]c1cccc(C(=O)OC)c1C,0.0,1.0,1.0,0.0,175.18699645996094,0.2000000029802322,0.7692307829856873,4.0,3.0,0.0,1.0,10,13,2,0,0,0,0,1.0
152,[C-]#[N+]c1ccccc1C(=O)OCC,0.0,1.0,1.0,0.0,175.18699645996094,0.2000000029802322,0.7692307829856873,5.0,2.0,0.0,1.0,10,13,2,0,0,0,0,1.0
153,[C-]#[N+]c1ccc(NC(C)=O)cc1,0.0,1.0,0.0,1.0,160.17599487304688,0.1111111119389534,0.75,3.0,3.0,0.0,2.0,9,12,1,0,0,0,0,1.0
154,[C-]#[N+]c1cc(OC)cc(OC)c1,0.0,1.0,0.0,0.0,163.17599487304688,0.2222222238779068,0.75,2.0,3.0,0.0,1.0,9,12,2,0,0,0,0,1.0
155,[C-]#[N+]c1cc(C(=O)OC)ccc1C,0.0,1.0,1.0,0.0,175.18699645996094,0.2000000029802322,0.7692307829856873,4.0,3.0,0.0,1.0,10,13,2,0,0,0,0,1.0
156,[C-]#[N+]c1cccc(F)c1,0.0,1.0,0.0,0.0,121.11399841308594,0.0,0.7777777910232544,2.0,2.0,0.0,1.0,7,9,0,0,0,0,0,1.0
157,[C-]#[N+]c1ccc(OC)c(OC)c1,0.0,1.0,0.0,0.0,163.17599487304688,0.2222222238779068,0.75,2.0,3.0,0.0,1.0,9,12,2,0,0,0,0,1.0
158,[C-]#[N+]CP(=O)(OCC)OCC,0.0,0.0,0.0,0.0,177.13999938964844,0.8333333134651184,0.5454545617103577,7.0,2.0,0.0,1.0,6,11,5,0,0,0,0,2.0
159,[C-]#[N+]CCc1ccccc1,0.0,1.0,0.0,0.0,131.17799377441406,0.2222222238779068,0.8999999761581421,4.0,1.0,0.0,1.0,9,10,2,0,0,0,0,1.0
160,[C-]#[N+]C1CCCCC1C,1.0,0.0,0.0,0.0,123.1989974975586,0.875,0.8888888955116272,2.0,2.0,0.0,1.0,8,9,7,0,0,0,0,1.0
161,[C-]#[N+]C1(C(=O)OCC)CCCCC1,1.0,0.0,1.0,0.0,181.23500061035156,0.800000011920929,0.7692307829856873,5.0,2.0,0.0,1.0,10,13,8,0,0,0,0,1.0
162,[C-]#[N+]Cc1ccc(C)o1,0.0,1.0,0.0,0.0,121.13899993896484,0.2857142984867096,0.7777777910232544,3.0,2.0,0.0,1.0,7,9,2,0,0,0,0,1.0
163,[C-]#[N+]Cc1ccc(C)cc1,0.0,1.0,0.0,0.0,131.17799377441406,0.2222222238779068,0.8999999761581421,3.0,2.0,0.0,1.0,9,10,2,0,0,0,0,1.0
164,[C-]#[N+]C1CCCCC1,1.0,0.0,0.0,0.0,109.1719970703125,0.8571428656578064,0.875,2.0,1.0,0.0,1.0,7,8,6,0,0,0,0,1.0
